movie,year,production_budget,domestic_gross,foreign_gross,worldwide_gross,month,profit,profit_margin,roi,pct_foreign,match_key,popularity,release_date,original_language,vote_average,vote_count,genres,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,no_reported_box_office
Enter the Void,2010,16000000,337997,1129281,1467278,9,-14532722,-9.904545696,-0.908295125,0.7696435167705098,2010 Enter the Void,9.563,9/24/2010,en,7.3,773,"Fantasy,Drama",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,FALSE
Vamps,2012,16000000,3361,91451,94812,11,-15905188,-167.7550099,-0.99407425,0.9645509007298654,2012 Vamps,6.65,11/2/2012,en,5,145,"Comedy,Romance,Horror",0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,FALSE
Second Act,2018,15700000,39282227,24006627,63288854,12,47588854,0.7519310430237842,3.031137197452229,0.379318403,2018 Second Act,16.322,12/21/2018,en,6.2,361,"Romance,Comedy",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE
Beverly Hills Cop,1984,15000000,234760478,81539522,316300000,12,301300000,0.9525766677205184,20.086666666666662,0.2577917230477395,1984 Beverly Hills Cop,15.067,11/30/1984,en,7.1,1827,"Action,Comedy,Crime",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
Annabelle: Creation,2017,15000000,102092201,203292664,305384865,8,290384865,0.9508816522390524,19.358991,0.6656933178400967,2017 Annabelle: Creation,21.245,8/11/2017,en,6.5,3141,"Horror,Mystery,Thriller",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,FALSE
Jackass Presents: Bad Grandpa,2013,15000000,102003019,58900000,160903019,10,145903019,0.9067761432120798,9.726867933333333,0.3660590109872332,2013 Jackass Presents: Bad Grandpa,8.823,10/25/2013,en,6,928,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
The Imitation Game,2014,15000000,91125143,136615320,227740463,11,212740463,0.9341355514852008,14.182697533333334,0.5998728473648532,2014 The Imitation Game,33.078,12/19/2014,en,8.1,10396,"History,Drama,Thriller,War",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,FALSE
Mama,2013,15000000,71628180,76467386,148095566,1,133095566,0.8987140506286326,8.873037733333334,0.5163381191304539,2013 Mama,11.983,1/18/2013,en,6.1,2421,Horror,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE
Diary of a Wimpy Kid,2010,15000000,64003625,12950686,76954311,3,61954311,0.805079146,4.1302874,0.1682905847860817,2010 Diary of a Wimpy Kid,12.256,3/19/2010,en,6,736,"Comedy,Family",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
The Woman in Black,2012,15000000,54333290,74622608,128955898,2,113955898,0.8836811636176579,7.597059866666667,0.5786676620250436,2012 The Woman in Black,12.781,2/3/2012,en,6.1,2122,"Drama,Horror,Thriller",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,FALSE
