movie,year,production_budget,domestic_gross,foreign_gross,worldwide_gross,month,profit,profit_margin,roi,pct_foreign,match_key,popularity,release_date,original_language,vote_average,vote_count,genres,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,no_reported_box_office
Logan,2017,127000000,226277068,389184326,615461394,3,488461394,0.7936507452163604,3.846152708661417,0.6323456349887642,2017 Logan,45,3/3/2017,en,7.8,12330,"Action,Drama,Science Fiction",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,FALSE
Night at the Museum: Secret of the Tomb,2014,127000000,113746621,240010000,353756621,12,226756621,0.6409961186281231,1.7854852047244094,0.6784607997485367,2014 Night at the Museum: Secret of the Tomb,20.064,12/19/2014,en,6.1,3536,"Adventure,Comedy,Fantasy,Family",0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,FALSE
The Hunger Games: Mockingjay - Part 1,2014,125000000,337135885,429439246,766575131,11,641575131,0.8369370529449122,5.132601048,0.5602050322709986,2014 The Hunger Games: Mockingjay - Part 1,33.837,11/21/2014,en,6.8,10087,"Science Fiction,Adventure,Thriller",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,FALSE
Fast Five,2011,125000000,210031325,420132129,630163454,4,505163454,0.8016387665667454,4.041307632,0.6667034185070339,2011 Fast Five,2.097,4/28/2011,en,7.2,4294,"Action,Thriller,Crime",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE
Teenage Mutant Ninja Turtles,2014,125000000,191204754,293800000,485004754,8,360004754,0.7422705675169526,2.880038032,0.6057672581081546,2014 Teenage Mutant Ninja Turtles,25.619,8/8/2014,en,5.8,4259,"Science Fiction,Action,Adventure,Fantasy,Comedy",1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,FALSE
Sherlock Holmes: A Game of Shadows,2011,125000000,186848418,348815025,535663443,12,410663443,0.7666445197381148,3.285307544,0.6511831814514921,2011 Sherlock Holmes: A Game of Shadows,18.301,12/16/2011,en,7.1,6380,"Adventure,Action,Crime,Mystery",1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,FALSE
The Boss Baby,2017,125000000,175003033,335875729,510878762,3,385878762,0.7553235536536161,3.087030096,0.6574470382857684,2017 The Boss Baby,7.445,3/31/2017,en,6.4,4314,"Animation,Comedy,Family",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
Clash of the Titans,2010,125000000,163214888,330000000,493214888,4,368214888,0.746560773,2.945719104,0.6690795594961846,2010 Clash of the Titans,15.574,4/2/2010,en,5.7,3714,"Adventure,Fantasy,Action",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE
Trolls,2016,125000000,153707064,190443070,344150134,11,219150134,0.6367864264728138,1.753201072,0.5533720640655047,2016 Trolls,16.286,11/4/2016,en,6.6,1880,"Adventure,Family,Comedy,Fantasy,Music,Animation",0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,FALSE
Prometheus,2012,125000000,126477084,275971181,402448265,6,277448265,0.6894010712159487,2.21958612,0.6857308255509562,2012 Prometheus,24.98,6/8/2012,en,6.4,7384,"Science Fiction,Adventure,Mystery",0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,FALSE
The Bourne Legacy,2012,125000000,113203870,167152050,280355920,8,155355920,0.5541381826358438,1.24284736,0.5962137343131545,2012 The Bourne Legacy,18.05,8/10/2012,en,6.1,3630,"Action,Thriller",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE
Skyscraper,2018,125000000,68420120,235695414,304115534,7,179115534,0.5889719990429689,1.432924272,0.7750193188092785,2018 Skyscraper,26.229,7/13/2018,en,6.1,2177,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
Total Recall,2012,125000000,58877969,152978119,211856088,8,86856088,0.4099768329527542,0.694848704,0.7220850740904835,2012 Total Recall,17.243,8/3/2012,en,5.9,3486,"Action,Science Fiction,Adventure,Thriller",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,FALSE
Monster Trucks,2017,125000000,33370166,28272632,61642798,1,-63357202,-1.027811911,-0.506857616,0.4586526393561824,2017 Monster Trucks,8.827,1/13/2017,en,5.9,414,"Action,Comedy,Science Fiction",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE
Jason Bourne,2016,120000000,162192920,253975396,416168316,7,296168316,0.711655128,2.4680693,0.6102708597355114,2016 Jason Bourne,14.568,7/29/2016,en,6.1,3611,"Action,Thriller",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE
Life of Pi,2012,120000000,124987022,495924981,620912003,11,500912003,0.8067358990964779,4.174266691666666,0.7987041297380105,2012 Life of Pi,15,11/21/2012,en,7.3,8723,"Adventure,Drama,Action",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
Rampage,2018,120000000,101028233,327028047,428056280,4,308056280,0.7196630312257071,2.5671356666666667,0.7639837616679751,2018 Rampage,24.238,4/13/2018,en,6.2,3176,"Action,Adventure,Science Fiction,Fantasy",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,FALSE
Elysium,2013,120000000,93050117,193141974,286192091,8,166192091,0.5807012011383641,1.3849340916666666,0.6748683142330443,2013 Elysium,17.663,8/9/2013,en,6.4,5406,"Science Fiction,Action,Drama,Thriller",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,FALSE
Oblivion,2013,120000000,89107235,198809398,287916633,4,167916633,0.5832126864306586,1.399305275,0.6905102908729833,2013 Oblivion,18.534,4/18/2013,en,6.5,6850,"Action,Science Fiction,Adventure,Mystery",1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,FALSE
Power Rangers,2017,120000000,85364450,57167102,142531552,3,22531552,0.1580811524454599,0.1877629333333333,0.401083839,2017 Power Rangers,15.865,3/24/2017,en,6.2,2667,"Action,Adventure,Science Fiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE
RoboCop,2014,120000000,58607007,184374792,242981799,2,122981799,0.5061358484715145,1.024848325,0.7588008351193416,2014 RoboCop,17.851,2/12/2014,en,5.8,3390,"Action,Science Fiction",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE
